sampleTimeStamp.seconds;sampleTimeStamp.microseconds;x_1;y_1;x_2;y_2;
1584543601;538678;495.500000;141.500000;430.500000;56.500000;
1584543602;240532;169.599396;48.697247;NaN;NaN;
1584543602;340623;169.599396;48.697247;NaN;NaN;
1584543602;438522;169.599396;48.697247;NaN;NaN;
1584543602;539485;169.599396;48.697247;NaN;NaN;
1584543602;641277;169.599396;48.697247;NaN;NaN;
1584543602;737980;169.599396;48.697247;NaN;NaN;
1584543602;837932;169.711304;48.904762;NaN;NaN;
1584543602;937746;169.711304;48.904762;NaN;NaN;
1584543603;37657;169.711304;48.904762;NaN;NaN;
1584543603;144095;169.711304;48.904762;NaN;NaN;
1584543603;240807;169.549652;49.510639;408.925934;51.629631;
1584543603;337661;168.675674;49.747749;410.222229;50.888889;
1584543603;437809;166.912277;55.298244;NaN;NaN;
1584543603;538544;166.500000;56.500000;NaN;NaN;
1584543603;639600;166.500000;57.000000;410.555542;50.777779;
1584543603;737793;165.370377;56.370369;NaN;NaN;
1584543603;837501;165.000000;58.333332;NaN;NaN;
1584543603;937598;165.520630;49.726986;NaN;NaN;
1584543604;40350;162.518524;51.792591;412.666656;51.000000;
1584543604;140075;156.500000;58.500000;NaN;NaN;
1584543604;237823;150.500000;62.500000;422.000000;64.500000;
1584543604;337644;133.728882;61.106667;NaN;NaN;
1584543604;437705;113.719856;65.595741;442.266663;70.733330;
1584543604;538070;114.533333;51.733334;456.666656;75.666664;
1584543604;639546;47.515774;79.078186;475.472839;78.449341;
1584543604;737739;2.596132;84.210464;65.398376;56.723576;
1584543604;840101;37.092262;60.336311;531.387268;109.103317;
1584543604;937965;5.436548;65.351944;571.535217;129.773636;
1584543605;37302;624.024109;153.843048;369.016663;76.150002;
1584543605;139348;377.666656;86.333336;NaN;NaN;
1584543605;237422;399.559082;78.495590;NaN;NaN;
1584543605;337238;435.787415;85.062927;NaN;NaN;
1584543605;437522;479.573517;92.052940;NaN;NaN;
1584543605;538240;1.975976;98.690689;515.241516;98.425758;
1584543605;643226;0.500000;109.000000;545.468140;105.154015;
1584543605;737754;567.256714;111.718079;402.592590;72.407410;
1584543605;837370;594.920471;120.210739;410.309265;74.340210;
1584543605;937452;630.597412;133.997726;420.625854;79.356010;
1584543606;37416;432.360260;84.161491;NaN;NaN;
1584543606;139769;455.898254;90.107094;NaN;NaN;
1584543606;237049;485.999084;98.911232;293.833344;66.907410;
1584543606;337265;509.241028;113.101028;295.238098;71.650795;
1584543606;439417;535.542603;124.290901;293.202911;75.159424;
1584543606;538861;578.478882;144.560471;295.148163;79.925926;
1584543606;639140;636.740967;168.259018;305.939392;89.696968;
1584543606;737260;330.833344;96.750000;NaN;NaN;
1584543606;837061;370.806763;103.478264;NaN;NaN;
1584543606;936887;424.444458;116.222221;NaN;NaN;
1584543607;37208;472.612732;122.300323;NaN;NaN;
1584543607;139115;553.518494;126.703705;328.242432;82.477272;
1584543607;237076;635.045898;157.061523;362.666656;80.266670;
1584543607;337001;406.994385;88.822098;NaN;NaN;
1584543607;437062;462.523804;99.761902;NaN;NaN;
1584543607;537436;508.088898;130.177780;NaN;NaN;
1584543607;639169;572.500000;133.000000;NaN;NaN;
1584543607;736785;636.409607;163.407410;356.888885;100.222221;
1584543607;836792;390.786316;101.341881;NaN;NaN;
1584543607;936984;NaN;NaN;NaN;NaN;
1584543608;36719;516.544434;159.355560;NaN;NaN;
1584543608;138865;324.466675;89.000000;NaN;NaN;
1584543608;236804;NaN;NaN;NaN;NaN;
1584543608;336699;493.333344;120.081078;NaN;NaN;
1584543608;436737;617.630249;141.494339;NaN;NaN;
1584543608;537539;91.296295;70.444443;NaN;NaN;
1584543608;638886;76.677246;77.788361;NaN;NaN;
1584543608;736934;46.456455;86.393394;NaN;NaN;
1584543608;837139;450.333344;71.761902;NaN;NaN;
1584543608;936872;459.580261;80.493828;NaN;NaN;
1584543609;36593;469.370361;99.462959;419.843750;59.500000;
1584543609;139285;164.666672;52.333332;484.727264;101.957222;
1584543609;236462;45.785713;77.682541;503.449036;117.683197;
1584543609;336435;21.473959;85.484375;533.771606;132.941360;
1584543609;436573;132.155548;62.200001;578.336426;160.186951;
1584543609;537050;120.703705;66.439156;469.840424;88.675529;
1584543609;638585;105.681160;74.014496;492.179688;102.557289;
1584543609;736530;84.023811;86.023811;516.162720;114.943130;
